,price,id,host_listings_count,cleaning_fee,security_deposit,accommodates,bedrooms,minimum_nights,guests_included,reviews_per_month,calculated_host_listings_count,room_type_Shared_room,room_type_Private_room,room_type_Hotel_room,host_response_time_unknown,host_response_time_within_a_day,host_response_time_within_a_few_hours,host_response_time_within_an_hour
4007,90,21966172,1,15,0,2,0,4,1,1.5,1,0,0,0,0,0,0,1
4008,250,21968079,3,150,300,10,4,2,1,2.78,3,0,0,0,0,0,0,1
4009,240,21980128,3,120,400,7,3,3,6,0.11,3,0,0,0,0,0,0,1
4010,99,21995741,2,119,0,5,1,3,2,0.92,2,0,0,0,0,0,0,1
4011,78,21997161,3,50,0,2,1,3,2,5.19,3,0,0,0,0,0,0,1
4012,122,21997692,3,40,0,2,1,2,2,4.65,3,0,0,0,0,0,0,1
4013,375,21998757,51,204,0,4,2,1,4,0.24,1,0,0,0,0,0,0,1
4014,125,22000425,4,80,200,5,2,1,4,6.09,3,0,0,0,0,0,0,1
4015,140,22016529,170,75,300,2,1,3,2,0.28,159,0,0,0,0,0,0,1
4016,125,22021457,170,75,300,2,1,2,2,3.82,159,0,0,0,0,0,0,1
4017,128,22021587,170,75,300,2,1,2,2,1.28,159,0,0,0,0,0,0,1
4018,93,22036022,14,75,0,4,1,2,4,5.74,12,0,0,0,0,0,0,1
4019,220,22037772,1,99,250,6,3,2,6,2.29,1,0,0,0,0,0,0,1
4020,39,22038201,2,20,100,1,1,30,1,3.12,2,0,1,0,0,0,0,1
4021,89,22044009,1,100,200,2,0,2,1,1.24,1,0,0,0,0,0,0,1
4022,120,22051899,1,20,0,2,1,1,1,0.05,1,0,0,0,1,0,0,0
4023,160,22060210,1,50,0,4,2,2,2,0.81,1,0,0,0,1,0,0,0
4024,115,22066237,2,100,0,6,2,2,1,3.92,1,0,0,0,0,0,0,1
4025,49,22066563,2,39,0,1,1,4,1,0.14,2,0,1,0,0,1,0,0
4026,150,22068682,1,100,100,2,1,3,1,0.19,1,0,0,0,0,1,0,0
4027,110,22076915,761,90,100,6,2,1,1,0.58,11,0,0,0,0,0,0,1
4028,100,22089984,1,50,0,3,1,3,2,5.33,1,0,0,0,0,0,0,1
4029,99,22107747,1,50,0,4,0,1,1,8.09,1,0,0,0,0,0,0,1
4030,400,22107935,57,165,1500,8,3,2,1,2.5,53,0,0,0,0,0,0,1
4031,54,22109476,1,35,300,2,1,2,2,4.07,1,0,1,0,0,0,0,1
4032,121,22109532,143,50,500,5,1,1,1,3.22,55,0,0,0,0,0,0,1
4033,65,22131084,1,40,200,2,1,1,2,5.95,1,0,0,0,0,0,0,1
4034,100,22131341,1,95,150,4,2,1,2,5.27,1,0,0,0,0,0,0,1
4035,79,22131406,9,45,100,2,1,1,2,2.07,9,0,0,0,0,0,0,1
4036,70,22143950,1,30,0,2,0,2,1,0.62,1,0,0,0,1,0,0,0
4037,299,22145418,951,129,500,4,2,2,4,0.16,352,0,0,0,0,0,0,1
4038,299,22146002,951,129,500,4,2,2,4,0.23,352,0,0,0,0,0,0,1
4039,299,22146010,951,129,500,4,2,2,4,0.26,352,0,0,0,0,0,0,1
